Month,Year,Reported_Incidents
January,2021,316
February,2021,345
March,2021,412
April,2021,476
May,2021,510
June,2021,650
July,2021,918
August,2021,1200
September,2021,2500
October,2021,4861
November,2021,3900
December,2021,3200
January,2022,2790
February,2022,2400
March,2022,2100
April,2022,2180
May,2022,2050
June,2022,1980
July,2022,2076
August,2022,2100
September,2022,2250
October,2022,2171
November,2022,1900
December,2022,2300
January,2023,1813
February,2023,1750
March,2023,1690
April,2023,1746
May,2023,1600
June,2023,1550
July,2023,1620
August,2023,1580
September,2023,1850
October,2023,1900
November,2023,1650
December,2023,1700
January,2024,1450
February,2024,1400
March,2024,1380
April,2024,1350
May,2024,1300
June,2024,1280
July,2024,1320
August,2024,1350
September,2024,1600
October,2024,1550
November,2024,1400
December,2024,1450
January,2025,1250
February,2025,1200
